date;1_dose;2_dose
27/12/20;211;0
28/12/20;386;0
29/12/20;1056;0
30/12/20;1763;0
31/12/20;2393;0
01/01/21;2657;0
02/01/21;3001;0
03/01/21;3779;0
04/01/21;9528;0
05/01/21;16233;0
06/01/21;20466;0
07/01/21;26006;0
08/01/21;34787;0
09/01/21;40163;0
10/01/21;44080;0
11/01/21;49645;0
12/01/21;55988;0
13/01/21;64588;0
14/01/21;70698;0
15/01/21;75276;0
16/01/21;79744;0
17/01/21;79744;0
18/01/21;84803;420
19/01/21;92139;1040
20/01/21;105700;1635
21/01/21;121109;2238
22/01/21;138312;2558
23/01/21;154273;3115
24/01/21;154273;3115
25/01/21;169456;7921
26/01/21;182778;13005
27/01/21;196009;17726
28/01/21;208461;23609
29/01/21;218910;32393
30/01/21;230518;38588
31/01/21;230518;38588
01/02/21;244652;46295
02/02/21;261575;54086
03/02/21;276135;61987
04/02/21;291259;68464
05/02/21;306441;73695
06/02/21;318097;79760
07/02/21;318097;79760
08/02/21;332812;84753
09/02/21;345290;92582
10/02/21;353412;106123
11/02/21;360800;121616
12/02/21;366749;139289
13/02/21;371462;154907
14/02/21;371462;154907
15/02/21;386049;168696
16/02/21;397840;177926
17/02/21;412970;190697
18/02/21;430124;203913
19/02/21;449073;215274
20/02/21;465842;227594
21/02/21;467656;229589
22/02/21;486820;243590
23/02/21;505148;257476
24/02/21;522510;271837
25/02/21;540039;286331
26/02/21;556380;300926
27/02/21;572174;313647
28/02/21;572174;313647
01/03/21;594053;327136
02/03/21;617737;339402
03/03/21;643218;348191
04/03/21;669152;355559
05/03/21;697877;361427
06/03/21;725389;366360
07/03/21;725389;366360
08/03/21;753637;372423
09/03/21;780538;377848
10/03/21;807282;383441
11/03/21;831764;390629
12/03/21;855154;398933
13/03/21;877405;406067
14/03/21;877405;406067
15/03/21;877647;407790
16/03/21;895924;420630
17/03/21;915646;430089
18/03/21;935274;440554
19/03/21;956750;450314
20/03/21;977050;459441
21/03/21;977050;459441
22/03/21;997964;471056
23/03/21;1018675;484812
24/03/21;1035548;501409
25/03/21;1035664;501440
26/03/21;1046297;526429
27/03/21;1055750;548488
28/03/21;1055750;548488
29/03/21;1066880;568796
30/03/21;1080665;588291
31/03/21;1092640;607167
01/04/21;1114370;624681
02/04/21;1135593;641909
03/04/21;1171428;658934
04/04/21;1171428;658934
05/04/21;1222690;663680
06/04/21;1269946;676393
07/04/21;1312904;690740
08/04/21;1353965;704785
09/04/21;1394022;720200
10/04/21;1435513;733840
11/04/21;1435513;733840
12/04/21;1480489;745389
13/04/21;1524912;756022
14/04/21;1569569;764988
15/04/21;1620077;767071
16/04/21;1671334;768876
17/04/21;1721660;770197
18/04/21;1721660;770197
19/04/21;1774130;772024
20/04/21;1826628;774370
21/04/21;1876019;776429
22/04/21;1924640;784140
23/04/21;1971371;793996
24/04/21;2004522;817103
25/04/21;2004522;817103
26/04/21;2032100;851099
27/04/21;2063834;881224
28/04/21;2099353;910135
29/04/21;2131900;943798
30/04/21;2153570;944123
01/05/21;2170858;944481
02/05/21;2170858;944481
03/05/21;2191460;945331
04/05/21;2214660;986552
05/05/21;2272655;1041838
06/05/21;2333926;1100081
07/05/21;2391483;1158110
08/05/21;2450316;1216683
09/05/21;2450316;1216683
10/05/21;2507242;1277825
11/05/21;2561871;1335798
12/05/21;2615136;1392281
13/05/21;2666908;1450838
14/05/21;2718404;1510095
15/05/21;2772428;1568229
16/05/21;2772428;1568229
17/05/21;2836987;1624604
18/05/21;2905229;1672775
19/05/21;2974198;1709388
20/05/21;3044725;1743394
21/05/21;3121419;1768771
22/05/21;3200890;1791271
23/05/21;3200890;1791271
24/05/21;3281580;1813815
25/05/21;3357696;1836773
26/05/21;3416374;1880694
27/05/21;3474679;1924490
28/05/21;3532565;1967849
29/05/21;3589548;2010989
30/05/21;3589548;2010989
31/05/21;3648009;2058287
01/06/21;3699010;2105971
02/06/21;3752252;2155442
03/06/21;3803210;2204220
04/06/21;3854982;2253347
05/06/21;3904284;2305626
06/06/21;3972071;2309366
07/06/21;4021068;2369187
08/06/21;4062844;2435852
09/06/21;4100056;2506621
10/06/21;4130796;2582154
11/06/21;4160324;2660260
12/06/21;4187240;2743851
13/06/21;4247316;2749592
14/06/21;4274475;2831081
15/06/21;4302150;2911340
16/06/21;4339032;2980883
17/06/21;4381219;3045889
18/06/21;4424168;3108991
19/06/21;4468570;3171374
20/06/21;4526282;3175443
21/06/21;4528608;3175501
22/06/21;4565962;3248653
23/06/21;4604248;3321644
24/06/21;4641889;3390060
25/06/21;4678468;3461165
26/06/21;4714326;3534001
27/06/21;4728579;3590937
28/06/21;4762226;3666080
29/06/21;4800359;3730060
30/06/21;4839234;3788906
01/07/21;4884042;3831147
02/07/21;4923673;3878045
03/07/21;4970733;3917016
04/07/21;4988163;3968350
05/07/21;5034790;4017820
06/07/21;5081770;4058143
07/07/21;5120640;4105653
08/07/21;5162930;4151907
09/07/21;5204304;4201847
10/07/21;5244189;4255688
11/07/21;5246110;4258610
12/07/21;5269237;4331934
13/07/21;5302319;4388072
14/07/21;5332580;4438726
15/07/21;5364957;4486033
16/07/21;5398353;4534255
17/07/21;5430157;4586714
18/07/21;5431670;4590758
19/07/21;5466109;4644901
20/07/21;5497328;4690118
21/07/21;5525866;4734403
22/07/21;5551526;4787767
23/07/21;5578650;4830974
24/07/21;5598682;4881022
25/07/21;5599401;4882228
26/07/21;5616551;4943131
27/07/21;5635911;4993770
28/07/21;5655786;5034742
29/07/21;5672262;5075546
30/07/21;5690314;5118376
31/07/21;5705671;5165666
01/08/21;5706416;5167260
02/08/21;5726800;5198378
03/08/21;5741571;5231845
04/08/21;5755372;5262223
05/08/21;5767713;5293507
06/08/21;5780422;5325349
07/08/21;5791398;5360158
08/08/21;5791894;5361270
09/08/21;5799515;5391529
10/08/21;5807068;5416918
11/08/21;5815144;5441745
12/08/21;5823197;5465647
13/08/21;5831413;5487885
14/08/21;5838557;5504723
15/08/21;5838746;5505041
16/08/21;5850750;5524389
17/08/21;5861749;5544272
18/08/21;5873009;5563987
19/08/21;5883351;5579852
20/08/21;5894724;5597167
21/08/21;5904555;5614071
22/08/21;5904799;5614458
23/08/21;5917139;5635437
24/08/21;5932269;5651654
25/08/21;5951234;5668041
26/08/21;5970391;5681994
27/08/21;5991224;5697216
28/08/21;6009602;5712066
29/08/21;6010329;5712497
30/08/21;6033144;5726036
31/08/21;6056242;5738106
01/09/21;6079798;5748030
02/09/21;6100565;5757051
03/09/21;6122095;5766616
04/09/21;6141512;5776111
05/09/21;6142025;5776336
06/09/21;6161083;5788447
07/09/21;6179949;5799038
08/09/21;6200013;5809940
09/09/21;6218640;5820279
10/09/21;6239086;5832628
11/09/21;6259470;5845008
12/09/21;6260044;5845265
13/09/21;6281590;5857688
14/09/21;6300466;5870484
15/09/21;6319108;5886915
16/09/21;6333640;5902443
17/09/21;6349134;5920231
18/09/21;6362673;5939715
19/09/21;6363115;5940145
20/09/21;6374615;5959272
21/09/21;6384199;5976351
22/09/21;6393241;5995116
